GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
bus-app,ua.pt.Controllers,ReservationController,3,0,0,0,1,0,1,0,1,0
bus-app,ua.pt.Controllers,BusController,0,42,0,2,0,12,0,5,0,4
bus-app,ua.pt.Controllers,TripController,3,0,0,0,1,0,1,0,1,0
bus-app,ua.pt.Controllers,UserController,19,48,0,2,4,13,1,6,1,5
bus-app,ua.pt.Controllers,CityController,0,60,0,4,0,17,0,7,0,5
bus-app,ua.pt.Service.Impl,BusServiceImpl,6,0,0,0,3,0,1,0,1,0
bus-app,ua.pt.Service.Impl,CityServiceImpl,6,0,0,0,3,0,1,0,1,0
bus-app,ua.pt.Service.Impl,ReservationServiceImpl,6,0,0,0,3,0,1,0,1,0
bus-app,ua.pt.Service.Impl,UserServiceImpl,6,0,0,0,3,0,1,0,1,0
bus-app,ua.pt.Service.Impl,TripServiceImpl,6,0,0,0,3,0,1,0,1,0
bus-app,ua.pt.Domain,Trip,31,39,0,0,2,14,8,8,8,8
bus-app,ua.pt.Domain,Bus,0,33,0,0,0,9,0,8,0,8
bus-app,ua.pt.Domain,User,0,40,0,0,0,10,0,10,0,10
bus-app,ua.pt.Domain,Reservation,19,24,0,0,2,9,5,5,5,5
bus-app,ua.pt.Domain,City,0,23,0,0,0,7,0,6,0,6
bus-app,ua.pt,BusApplication,5,3,0,0,2,1,1,1,1,1
bus-app,ua.pt.Repository,ReservationRepository,3,0,0,0,1,0,1,0,1,0
bus-app,ua.pt.Repository,BusRepository,3,0,0,0,1,0,1,0,1,0
bus-app,ua.pt.Repository,CityRepository,3,0,0,0,1,0,1,0,1,0
bus-app,ua.pt.Repository,TripRepository,3,0,0,0,1,0,1,0,1,0
bus-app,ua.pt.Repository,UserRepository,3,0,0,0,1,0,1,0,1,0
